trade_id,pv,dv01_parallel_1bp
SWP0001,-281688.58481676783,-10914.230945188552
SWP0002,-205686.32762540877,83949.25092726946
SWP0003,-595658.2399188597,42551.972695067525
SWP0004,-21340.96661749785,-2450.0353404958732
SWP0005,-2055.5023996226955,-2450.9808613294736
SWP0006,125111.76075851242,2898.2463445123285
SWP0007,3898.807452588153,244.96208299818682
SWP0008,-1822171.4670299739,-52225.0416454263
SWP0009,74919.8346539326,2751.6332197485026
SWP0010,-1010626.5239609703,-26046.622032277286
SWP0011,120820.06322539249,2744.519965755753
SWP0012,-56016.38447487028,-1373.0770047371043
SWP0013,-55918.12015972799,-2412.721829260001
SWP0014,66337.04241382761,1878.5962999687763
SWP0015,8608.66457142742,489.9144478485978
SWP0016,-115871.88320281426,-2168.117745653377
SWP0017,53112.889007249265,1373.5597835493973
SWP0018,-1116572.4529252239,-25976.455374775454
SWP0019,884259.9252107497,31998.44636662677
SWP0020,-465778.52462536097,-26408.383278509602
